file_name,normalized_path,char_count,status
ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.txt,normalized_contracts1\norm_ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.txt,87406,success
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement.txt,normalized_contracts1\norm_AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement.txt,167807,success
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement.txt,normalized_contracts1\norm_AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement.txt,68983,success
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,normalized_contracts1\norm_ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,113946,success
ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT.txt,normalized_contracts1\norm_ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT.txt,11364,success
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1.txt,normalized_contracts1\norm_AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1.txt,225354,success
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,normalized_contracts1\norm_BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,1982,success
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement.txt","normalized_contracts1\norm_BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement.txt",188430,success
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement2.txt,normalized_contracts1\norm_BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement2.txt,2280,success
BEYONDCOMCORP_08_03_2000-EX-10.2-CO-HOSTING AGREEMENT.txt,normalized_contracts1\norm_BEYONDCOMCORP_08_03_2000-EX-10.2-CO-HOSTING AGREEMENT.txt,50502,success
"BLUEROCKRESIDENTIALGROWTHREIT,INC_06_01_2016-EX-1.1-AGENCY AGREEMENT.txt","normalized_contracts1\norm_BLUEROCKRESIDENTIALGROWTHREIT,INC_06_01_2016-EX-1.1-AGENCY AGREEMENT.txt",133066,success
"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement.txt","normalized_contracts1\norm_CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement.txt",8903,success
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1.txt,normalized_contracts1\norm_CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1.txt,164653,success
"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt","normalized_contracts1\norm_Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt",45562,success
CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT.txt,normalized_contracts1\norm_CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT.txt,22031,success
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.txt,normalized_contracts1\norm_CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.txt,159718,success
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement.txt,normalized_contracts1\norm_DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement.txt,11145,success
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.txt,normalized_contracts1\norm_DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.txt,106762,success
"DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT.txt","normalized_contracts1\norm_DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT.txt",27826,success
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.txt,normalized_contracts1\norm_EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.txt,18260,success
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT.txt,normalized_contracts1\norm_ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT.txt,44808,success
"ETELOS,INC_03_09_2004-EX-10.8-DISTRIBUTOR AGREEMENT.txt","normalized_contracts1\norm_ETELOS,INC_03_09_2004-EX-10.8-DISTRIBUTOR AGREEMENT.txt",25717,success
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement2.txt,normalized_contracts1\norm_GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement2.txt,11940,success
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement4.txt,normalized_contracts1\norm_GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement4.txt,1805,success
GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement.txt,normalized_contracts1\norm_GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement.txt,28810,success
HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT (1).txt,normalized_contracts1\norm_HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT (1).txt,120288,success
